epoch,accuracy,loss,val_accuracy,val_loss
0,0.23473475873470306,2.0618717670440674,0.32460296154022217,1.6988046169281006
1,0.3340415954589844,1.7003642320632935,0.39593201875686646,1.557616949081421
2,0.3956598937511444,1.5523972511291504,0.45945945382118225,1.3953616619110107
3,0.4290640652179718,1.4657573699951172,0.4733909070491791,1.3606982231140137
4,0.4508342444896698,1.3957350254058838,0.49052661657333374,1.32663094997406
5,0.4716291129589081,1.3536347150802612,0.5231262445449829,1.2674243450164795
6,0.49071720242500305,1.2975980043411255,0.515603244304657,1.2742955684661865
7,0.5083075165748596,1.2410317659378052,0.5274449586868286,1.2363075017929077
8,0.5178864002227783,1.2216225862503052,0.49387016892433167,1.3572328090667725
9,0.5250269770622253,1.191434383392334,0.5274449586868286,1.2493036985397339
10,0.5425127744674683,1.1625378131866455,0.5502925515174866,1.2036806344985962
11,0.5511163473129272,1.125840187072754,0.5606018304824829,1.1651746034622192
12,0.5527535080909729,1.1089524030685425,0.539286732673645,1.252553105354309
13,0.5627852082252502,1.0884846448898315,0.569378674030304,1.144648790359497
14,0.5730606913566589,1.0703272819519043,0.5596266388893127,1.1834089756011963
15,0.5785990357398987,1.0533013343811035,0.5760657787322998,1.1387938261032104
16,0.5843812227249146,1.0230334997177124,0.5849819183349609,1.1131176948547363
17,0.5880386233329773,1.0129295587539673,0.5837280750274658,1.1116981506347656
18,0.5982792973518372,0.9885982871055603,0.5879074931144714,1.1083908081054688
19,0.6002995371818542,0.9902809858322144,0.5934800505638123,1.0919840335845947
20,0.6040962934494019,0.9682758450508118,0.5858177542686462,1.1058306694030762
21,0.6143021583557129,0.9595077633857727,0.5856784582138062,1.1063530445098877
22,0.6137099862098694,0.9510409235954285,0.5944553017616272,1.0975645780563354
23,0.6205719709396362,0.9245965480804443,0.5853998064994812,1.1148157119750977
24,0.628687858581543,0.9069474339485168,0.5858177542686462,1.0962077379226685
25,0.6339126825332642,0.8949564695358276,0.5962663888931274,1.0853532552719116
26,0.6333553791046143,0.9016817212104797,0.5986347198486328,1.0905687808990479
27,0.6404263377189636,0.8819786310195923,0.5874895453453064,1.109545111656189
28,0.6467310190200806,0.8634782433509827,0.6012817025184631,1.088546872138977
29,0.6473231315612793,0.8714646100997925,0.5989133715629578,1.0831629037857056
