epoch,accuracy,loss,val_accuracy,val_loss
0,0.1815110296010971,1.9974653720855713,0.23808860778808594,1.849835991859436
1,0.24671705067157745,1.8360170125961304,0.34954026341438293,1.7087846994400024
2,0.2969103753566742,1.739025354385376,0.3921705186367035,1.6112326383590698
3,0.3385697901248932,1.6733592748641968,0.4224017858505249,1.5386282205581665
4,0.37322789430618286,1.5982487201690674,0.44594594836235046,1.464620590209961
5,0.3958688974380493,1.539198875427246,0.47631651163101196,1.383692741394043
6,0.4204604923725128,1.4941778182983398,0.48411813378334045,1.357776403427124
7,0.4403148889541626,1.4481210708618164,0.5013931393623352,1.3151301145553589
8,0.45278483629226685,1.4061988592147827,0.5117024183273315,1.2854207754135132
9,0.4672054052352905,1.370759129524231,0.5164391398429871,1.2634726762771606
10,0.4778989255428314,1.3424477577209473,0.530927836894989,1.2299330234527588
11,0.4868159890174866,1.3086942434310913,0.5335748195648193,1.2239943742752075
12,0.49054303765296936,1.2816901206970215,0.5413764119148254,1.20233154296875
13,0.5004005432128906,1.2724609375,0.5500139594078064,1.1825270652770996
14,0.507192850112915,1.243788480758667,0.5590693950653076,1.170127272605896
15,0.5187223553657532,1.2211166620254517,0.5554472208023071,1.163394808769226
16,0.5234595537185669,1.207100749015808,0.5600445866584778,1.1560426950454712
17,0.5314012765884399,1.1823399066925049,0.57704097032547,1.126042366027832
18,0.5373924374580383,1.1711264848709106,0.5660350918769836,1.144107460975647
19,0.5424779653549194,1.157820224761963,0.5764837265014648,1.1200435161590576
20,0.5449858903884888,1.14011549949646,0.5816383361816406,1.1169848442077637
21,0.5523355007171631,1.120605707168579,0.5799665451049805,1.1113831996917725
22,0.558117687702179,1.1035072803497314,0.5833101272583008,1.1080254316329956
23,0.5578738451004028,1.0914613008499146,0.5773195624351501,1.1245627403259277
24,0.5640739798545837,1.0862928628921509,0.5856784582138062,1.106070876121521
25,0.5697168111801147,1.0678826570510864,0.5908331274986267,1.101182460784912
26,0.5691595077514648,1.0616041421890259,0.5837280750274658,1.1204363107681274
27,0.5763349533081055,1.042576789855957,0.5899972319602966,1.0984439849853516
28,0.5807934999465942,1.0390561819076538,0.6001671552658081,1.0703203678131104
29,0.5837193727493286,1.0271564722061157,0.5961270332336426,1.092613697052002
