epoch,accuracy,loss,val_accuracy,val_loss
0,0.23713818192481995,2.0354421138763428,0.3598495423793793,1.6484546661376953
1,0.34654638171195984,1.6774574518203735,0.41933685541152954,1.5231460332870483
2,0.3969138562679291,1.5446065664291382,0.46433547139167786,1.4268290996551514
3,0.43230345845222473,1.4647443294525146,0.4738088548183441,1.390250325202942
4,0.45898500084877014,1.3843696117401123,0.5058512091636658,1.3151048421859741
5,0.47890904545783997,1.338644027709961,0.5128169655799866,1.2896728515625
6,0.4954544007778168,1.2884522676467896,0.5387294292449951,1.2196987867355347
7,0.5083075165748596,1.2482303380966187,0.5399832725524902,1.2043812274932861
8,0.5258978009223938,1.2031116485595703,0.5505712032318115,1.1873422861099243
9,0.5361733436584473,1.178489089012146,0.5408191680908203,1.2121883630752563
10,0.542686939239502,1.1592504978179932,0.5544719696044922,1.1741644144058228
11,0.5472151637077332,1.1430453062057495,0.5501532554626465,1.1990605592727661
12,0.5588491559028625,1.1014351844787598,0.5714683532714844,1.1395848989486694
13,0.5752551555633545,1.0646555423736572,0.5632488131523132,1.1686084270477295
14,0.5785642266273499,1.0532382726669312,0.5791306495666504,1.1013298034667969
15,0.581908106803894,1.0381170511245728,0.5636667609214783,1.1581742763519287
16,0.5870981216430664,1.0261223316192627,0.5788520574569702,1.1439458131790161
17,0.5945174098014832,1.0053375959396362,0.5826135277748108,1.105450987815857
18,0.5981748104095459,0.9929804801940918,0.5828921794891357,1.1087983846664429
19,0.6045839190483093,0.9742288589477539,0.5869323015213013,1.104729175567627
20,0.610679566860199,0.9591187238693237,0.5833101272583008,1.1052725315093994
21,0.6161134243011475,0.9475080370903015,0.5899972319602966,1.0958274602890015
22,0.6180640459060669,0.9395488500595093,0.584424614906311,1.1297603845596313
23,0.6239506602287292,0.937130868434906,0.5778768658638,1.1289961338043213
24,0.6334947347640991,0.9030043482780457,0.5879074931144714,1.1027724742889404
25,0.6355846524238586,0.8939157128334045,0.5998885631561279,1.0796259641647339
26,0.6398690342903137,0.8879299759864807,0.5987740159034729,1.0901844501495361
27,0.641053318977356,0.8787296414375305,0.591668963432312,1.0972082614898682
28,0.6427949666976929,0.8692599534988403,0.5987740159034729,1.0815528631210327
29,0.6535929441452026,0.8508518934249878,0.6005851030349731,1.0852192640304565
