epoch,accuracy,loss,val_accuracy,val_loss
0,0.1869448572397232,1.9928109645843506,0.24435776472091675,1.8612017631530762
1,0.24009892344474792,1.8462998867034912,0.32836446166038513,1.7459290027618408
2,0.28482356667518616,1.7534610033035278,0.3696015477180481,1.6593581438064575
3,0.33170783519744873,1.6809484958648682,0.41153523325920105,1.5652906894683838
4,0.3695705235004425,1.6091914176940918,0.4477570354938507,1.48569917678833
5,0.3999791145324707,1.5535919666290283,0.4710225760936737,1.4100176095962524
6,0.4205998182296753,1.4999291896820068,0.4823070466518402,1.3633582592010498
7,0.4363439977169037,1.4623223543167114,0.492755651473999,1.3312160968780518
8,0.4485701322555542,1.4298349618911743,0.5054332613945007,1.3092002868652344
9,0.4656031131744385,1.3805603981018066,0.5139314532279968,1.296261191368103
10,0.4775157570838928,1.3461822271347046,0.5277236104011536,1.2438665628433228
11,0.4859451651573181,1.328202247619629,0.5342713594436646,1.228916883468628
12,0.49047335982322693,1.306281566619873,0.5383114814758301,1.2210103273391724
13,0.49824097752571106,1.2764204740524292,0.5437448024749756,1.1992440223693848
14,0.5117558836936951,1.2433655261993408,0.5553078651428223,1.1783303022384644
15,0.5168066024780273,1.222480058670044,0.5554472208023071,1.161696195602417
16,0.525061845779419,1.20631742477417,0.5578155517578125,1.1610006093978882
17,0.529624879360199,1.1835051774978638,0.5617163777351379,1.15745210647583
18,0.538925051689148,1.1610320806503296,0.5632488131523132,1.156857967376709
19,0.5425476431846619,1.1544486284255981,0.5784341096878052,1.1108760833740234
20,0.5441150665283203,1.1398712396621704,0.5724436044692993,1.1153309345245361
21,0.5541816353797913,1.1213600635528564,0.5663137435913086,1.12897789478302
22,0.5553659200668335,1.1118742227554321,0.5699359178543091,1.1377114057540894
23,0.5637953281402588,1.0864603519439697,0.5808024406433105,1.096116542816162
24,0.5624716877937317,1.0845258235931396,0.5791306495666504,1.1054390668869019
25,0.569403350353241,1.0669318437576294,0.5841460227966309,1.094423770904541
26,0.574384331703186,1.0514389276504517,0.5870715975761414,1.0823116302490234
27,0.5776934027671814,1.0405033826828003,0.5894399285316467,1.087692379951477
28,0.5825350880622864,1.034165859222412,0.5918083190917969,1.0617856979370117
29,0.5873767733573914,1.0224103927612305,0.591668963432312,1.0731741189956665
